month,sales
2013-01-01,14236.90
2013-02-01,4519.89
2013-03-01,55691.01
2013-04-01,28295.35
2013-05-01,23648.29
2013-06-01,34595.13
2013-07-01,33946.39
2013-08-01,27909.47
2013-09-01,81777.35
2013-10-01,31453.39
2013-11-01,78628.72
2013-12-01,69545.62
2014-01-01,18174.08
2014-02-01,11951.41
2014-03-01,38726.25
2014-04-01,34195.21
2014-05-01,30131.69
2014-06-01,24797.29
2014-07-01,28765.33
2014-08-01,36898.33
2014-09-01,64595.92
2014-10-01,31404.92
2014-11-01,75972.56
2014-12-01,74919.52
2015-01-01,18542.49
2015-02-01,22867.71
2015-03-01,51186.22
2015-04-01,39248.59
2015-05-01,56691.08
2015-06-01,39430.44
2015-07-01,38440.76
2015-08-01,33265.56
2015-09-01,72908.11
2015-10-01,56463.13
2015-11-01,82192.32
2015-12-01,97237.42
2016-01-01,44703.14
2016-02-01,20301.13
2016-03-01,58872.35
2016-04-01,36521.54
2016-05-01,44261.11
2016-06-01,52981.73
2016-07-01,45264.42
2016-08-01,63120.89
2016-09-01,87866.65
2016-10-01,77776.92
2016-11-01,118447.83
2016-12-01,83829.32